deputado,partido,estado,voto,id_deputado
Abel Mesquita Jr.,DEM,RR,SIM,178957
Adail Carneiro,PP,CE,SIM,178864
Adalberto Cavalcanti,PTB,PE,NAO,178914
Adelmo Carneiro Leão,PT,MG,NAO,178890
Adelson Barreto,PR,SE,SIM,178968
Adilton Sachetti,PSB,MT,SIM,178903
Aelton Freitas,PR,MG,NAO,141372
Afonso Florence,PT,BA,NAO,160508
Afonso Hamm,PP,RS,SIM,136811
Afonso Motta,PDT,RS,NAO,178835
Aguinaldo Ribeiro,PP,PB,SIM,160527
Alan Rick,PRB,AC,SIM,178836
Alberto Filho,PMDB,MA,SIM,160582
Alberto Fraga,DEM,DF,SIM,73579
Alceu Moreira,PMDB,RS,SIM,160559
Alessandro Molon,REDE,RJ,NAO,160511
Alexandre Baldy,PTN,GO,SIM,178875
Alexandre Leite,DEM,SP,SIM,160545
Alexandre Serfiotis,PMDB,RJ,SIM,178833
Alexandre Valle,PR,RJ,SIM,178936
Alex Canziani,PTB,PR,SIM,73458
Alex Manente,PPS,SP,SIM,178972
Alfredo Kaefer,PSL,PR,SIM,141454
Alfredo Nascimento,PR,AM,SIM,178846
Alice Portugal,PCdoB,BA,NAO,74057
Aliel Machado,REDE,PR,NAO,178927
Altineu Côrtes,PMDB,RJ,SIM,178937
Aluisio Mendes,PTN,MA,NAO,178881
Ana Perugini,PT,SP,NAO,178973
Anderson Ferreira,PR,PE,SIM,160551
André Abdon,PP,AP,SIM,178831
André Fufuca,PP,MA,SIM,178882
Andre Moura,PSC,SE,SIM,160543
Andres Sanchez,PT,SP,NAO,178974
Angelim,PT,AC,NAO,178837
Aníbal Gomes,PMDB,CE,AUSEN,74212
Antonio Brito,PSD,BA,NAO,160553
Antonio Bulhões,PRB,SP,SIM,141383
Antonio Imbassahy,PSDB,BA,SIM,160530
Antônio Jácome,PTN,RN,SIM,178950
Arlindo Chinaglia,PT,SP,NAO,73433
Arnaldo Faria de Sá,PTB,SP,SIM,73434
Arnaldo Jordy,PPS,PA,SIM,160602
Arnon Bezerra,PTB,CE,NAO,74291
Arthur Lira,PP,AL,SIM,160541
Arthur Virgílio Bisneto,PSDB,AM,SIM,178847
Assis Carvalho,PT,PI,NAO,159237
Assis do Couto,PDT,PR,NAO,74378
Átila Lins,PSD,AM,SIM,74090
Átila Lira,PSB,PI,SIM,74459
Augusto Carvalho,SD,DF,SIM,73655
Augusto Coutinho,SD,PE,SIM,160665
Aureo,SD,RJ,SIM,160512
Bacelar,PTN,BA,NAO,69871
Baleia Rossi,PMDB,SP,SIM,178975
Bebeto,PSB,BA,NAO,178834
Benedita da Silva,PT,RJ,NAO,73701
Benito Gama,PTB,BA,SIM,74535
Benjamin Maranhão,SD,PB,SIM,74040
Betinho Gomes,PSDB,PE,SIM,178915
Beto Faro,PT,PA,NAO,141335
Beto Mansur,PRB,SP,SIM,73437
Beto Rosado,PP,RN,SIM,178948
Beto Salame,PP,PA,ABST,178906
Bilac Pinto,PR,MG,SIM,141513
Bohn Gass,PT,RS,NAO,160538
Bonifácio de Andrada,PSDB,MG,SIM,74650
Bruna Furlan,PSDB,SP,SIM,160589
Brunny,PR,MG,NAO,178999
Bruno Araújo,PSDB,PE,SIM,141394
Bruno Covas,PSDB,SP,SIM,178976
Cabo Sabino,PR,CE,SIM,178865
Cabuçu Borges,PMDB,AP,SIM,105112
Cacá Leão,PP,BA,ABST,93083
Caetano,PT,BA,NAO,178853
Caio Narcio,PSDB,MG,SIM,178891
Capitão Augusto,PR,SP,SIM,178829
Carlos Andrade,PHS,RR,SIM,178958
Carlos Gomes,PRB,RS,SIM,178962
Carlos Henrique Gaguim,PTN,TO,SIM,178993
Carlos Manato,SD,ES,SIM,74163
Carlos Marun,PMDB,MS,SIM,178900
Carlos Melles,DEM,MG,SIM,74651
Carlos Sampaio,PSDB,SP,SIM,74262
Carlos Zarattini,PT,SP,NAO,141398
Carmen Zanotto,PPS,SC,SIM,164360
Célio Silveira,PSDB,GO,SIM,178876
Celso Maldaner,PMDB,SC,SIM,141405
Celso Pansera,PMDB,RJ,NAO,72912
Celso Russomanno,PRB,SP,SIM,73441
César Halum,PRB,TO,SIM,160576
César Messias,PSB,AC,NAO,178838
Cesar Souza,PSD,SC,SIM,73720
Chico Alencar,PSOL,RJ,NAO,74171
Chico Lopes,PCdoB,CE,NAO,141440
Christiane de Souza Yared,PR,PR,SIM,178928
Cícero Almeida,PMDB,AL,SIM,178841
Clarissa Garotinho,PR,RJ,AUSEN,178939
Claudio Cajado,DEM,BA,SIM,74537
Cleber Verde,PRB,MA,SIM,141408
Conceição Sampaio,PP,AM,SIM,178848
Covatti Filho,PP,RS,SIM,178963
Cristiane Brasil,PTB,RJ,SIM,93472
Dagoberto,PDT,MS,NAO,141411
Damião Feliciano,PDT,PB,NAO,74467
Dâmina Pereira,PSL,MG,SIM,178892
Daniel Almeida,PCdoB,BA,NAO,74060
Daniel Coelho,PSDB,PE,SIM,178916
Daniel Vilela,PMDB,GO,SIM,144523
Danrlei de Deus Hinterholz,PSD,RS,SIM,160552
Darcísio Perondi,PMDB,RS,SIM,73891
Davidson Magalhães,PCdoB,BA,NAO,101309
Décio Lima,PT,SC,NAO,141413
Delegado Éder Mauro,PSD,PA,SIM,178908
Delegado Edson Moreira,PR,MG,SIM,178893
Delegado Waldir,PR,GO,SIM,164359
Deley,PTB,RJ,SIM,74172
Diego Andrade,PSD,MG,SIM,160588
Diego Garcia,PHS,PR,SIM,178929
Dilceu Sperafico,PP,PR,SIM,73768
Dimas Fabiano,PP,MG,SIM,160599
Domingos Neto,PSD,CE,NAO,143632
Domingos Sávio,PSDB,MG,SIM,160758
Dr. João,PR,RJ,SIM,178940
Dr. Jorge Silva,PHS,ES,SIM,160643
Dr. Sinval Malheiros,PTN,SP,SIM,178830
Dulce Miranda,PMDB,TO,SIM,178994
Edio Lopes,PR,RR,NAO,141417
Edmilson Rodrigues,PSOL,PA,NAO,134812
Eduardo Barbosa,PSDB,MG,SIM,74655
Eduardo Bolsonaro,PSC,SP,SIM,92346
Eduardo Cunha,PMDB,RJ,SIM,74173
Eduardo Cury,PSDB,SP,SIM,178977
Eduardo da Fonte,PP,PE,SIM,141421
Efraim Filho,DEM,PB,SIM,141422
Eli Corrêa Filho,DEM,SP,SIM,160532
Elizeu Dionizio,PSDB,MS,SIM,181316
Eliziane Gama,PPS,MA,SIM,178883
Elmar Nascimento,DEM,BA,SIM,178854
Enio Verri,PT,PR,NAO,132504
Erika Kokay,PT,DF,NAO,160575
Erivelton Santana,PEN,BA,SIM,99654
Eros Biondini,PROS,MG,SIM,160640
Esperidião Amin,PP,SC,SIM,160649
Evair de Melo,PV,ES,SIM,178871
Evandro Gussi,PV,SP,SIM,178828
Expedito Netto,PSD,RO,SIM,178953
Ezequiel Teixeira,PTN,RJ,SIM,178941
Fábio Faria,PSD,RN,SIM,141428
Fabio Garcia,PSB,MT,SIM,178905
Fábio Mitidieri,PSD,SE,NAO,178969
Fábio Ramalho,PMDB,MG,SIM,141427
Fabio Reis,PMDB,SE,SIM,171623
Fábio Sousa,PSDB,GO,SIM,178877
Fausto Pinato,PP,SP,SIM,66828
Felipe Bornier,PROS,RJ,SIM,141430
Felipe Maia,DEM,RN,SIM,141429
Félix Mendonça Júnior,PDT,BA,NAO,160666
Fernando Coelho Filho,PSB,PE,SIM,141431
Fernando Francischini,SD,PR,SIM,160646
Fernando Jordão,PMDB,RJ,SIM,163831
Fernando Torres,PSD,BA,NAO,160676
Flávia Morais,PDT,GO,SIM,160598
Flavinho,PSB,SP,SIM,178978
Francisco Chapadinha,PTN,PA,SIM,178907
Francisco Floriano,DEM,RJ,SIM,160677
Gabriel Guimarães,PT,MG,NAO,129037
Geovania de Sá,PSDB,SC,SIM,178966
Geraldo Resende,PSDB,MS,SIM,74374
Giacobo,PR,PR,SIM,74383
Gilberto Nascimento,PSC,SP,SIM,74270
Giovani Cherini,PDT,RS,SIM,160673
Giuseppe Vecci,PSDB,GO,SIM,178878
Givaldo Carimbão,PHS,AL,NAO,74558
Givaldo Vieira,PT,ES,NAO,178872
Glauber Braga,PSOL,RJ,NAO,152605
Gonzaga Patriota,PSB,PE,SIM,74419
Gorete Pereira,PR,CE,ABST,129618
Goulart,PSD,SP,SIM,178980
Heitor Schuch,PSB,RS,SIM,178964
Helder Salomão,PT,ES,NAO,178873
Hélio Leite,DEM,PA,SIM,178909
Henrique Fontana,PT,RS,NAO,73482
Heráclito Fortes,PSB,PI,SIM,97707
Herculano Passos,PSD,SP,SIM,178981
Hermes Parcianello,PMDB,PR,SIM,73772
Heuler Cruvinel,PSD,GO,SIM,160596
Hildo Rocha,PMDB,MA,SIM,178884
Hiran Gonçalves,PP,RR,SIM,178959
Hissa Abrahão,PDT,AM,SIM,178849
Hugo Leal,PSB,RJ,SIM,141450
Hugo Motta,PMDB,PB,SIM,160674
Indio da Costa,PSD,RJ,SIM,141389
Iracema Portella,PP,PI,SIM,67138
Irmão Lazaro,PSC,BA,SIM,178855
Ivan Valente,PSOL,SP,NAO,73531
Izalci,PSDB,DF,SIM,4931
Jaime Martins,PSD,MG,SIM,74665
Jair Bolsonaro,PSC,RJ,SIM,74847
Jandira Feghali,PCdoB,RJ,NAO,74848
Jarbas Vasconcelos,PMDB,PE,SIM,131943
Jefferson Campos,PSD,SP,SIM,74273
Jerônimo Goergen,PP,RS,SIM,160570
JHC,PSB,AL,SIM,178842
Jhonatan de Jesus,PRB,RR,SIM,160531
João Arruda,PMDB,PR,SIM,160573
João Campos,PRB,GO,SIM,74366
João Carlos Bacelar,PR,BA,NAO,141458
João Castelo,PSDB,MA,SIM,74445
João Daniel,PT,SE,NAO,178970
João Fernando Coutinho,PSB,PE,SIM,178917
João Gualberto,PSDB,BA,SIM,178856
João Marcelo Souza,PMDB,MA,NAO,112437
João Paulo Papa,PSDB,SP,SIM,178988
João Rodrigues,PSD,SC,SIM,160571
Joaquim Passarinho,PSD,PA,SIM,178910
Jô Moraes,PCdoB,MG,NAO,141503
Jony Marcos,PRB,SE,SIM,178971
Jorge Côrte Real,PTB,PE,SIM,160572
Jorge Solla,PT,BA,NAO,178857
Jorge Tadeu Mudalen,DEM,SP,SIM,73535
Jorginho Mello,PR,SC,SIM,160509
José Airton Cirilo,PT,CE,NAO,141464
José Carlos Aleluia,DEM,BA,SIM,74553
José Carlos Araújo,PR,BA,NAO,74140
José Fogaça,PMDB,RS,SIM,131966
José Guimarães,PT,CE,NAO,141470
José Mentor,PT,SP,NAO,74275
José Otávio Germano,PP,RS,SIM,74395
José Priante,PMDB,PA,SIM,74079
José Rocha,PR,BA,NAO,74554
Jose Stédile,PSB,RS,SIM,160607
Josi Nunes,PMDB,TO,SIM,114941
Josué Bengtson,PTB,PA,SIM,74351
Jovair Arantes,PTB,GO,SIM,73666
Júlia Marinho,PSC,PA,SIM,67312
Júlio Cesar,PSD,PI,SIM,74317
Júlio Delgado,PSB,MG,SIM,73586
Julio Lopes,PP,RJ,SIM,74253
Junior Marreca,PEN,MA,NAO,178885
Juscelino Filho,DEM,MA,SIM,178886
Jutahy Junior,PSDB,BA,SIM,74570
Kaio Maniçoba,PMDB,PE,SIM,178918
Keiko Ota,PSB,SP,SIM,160659
Laercio Oliveira,SD,SE,SIM,151208
Laerte Bessa,PR,DF,SIM,141478
Laudivio Carvalho,SD,MG,SIM,178894
Lázaro Botelho,PP,TO,SIM,141480
Leandre,PV,PR,SIM,178832
Lelo Coimbra,PMDB,ES,SIM,141562
Leo de Brito,PT,AC,NAO,178825
Leonardo Monteiro,PT,MG,NAO,74156
Leonardo Picciani,PMDB,RJ,NAO,74254
Leonardo Quintão,PMDB,MG,SIM,141482
Leônidas Cristino,PDT,CE,NAO,74299
Leopoldo Meyer,PSB,PR,SIM,160663
Lincoln Portela,PRB,MG,SIM,74585
Lindomar Garçon,PRB,RO,SIM,141483
Lucas Vergilio,SD,GO,SIM,178879
Luciana Santos,PCdoB,PE,NAO,160628
Luciano Ducci,PSB,PR,SIM,178931
Lucio Mosquini,PMDB,RO,SIM,178954
Lúcio Vale,PR,PA,NAO,141484
Lucio Vieira Lima,PMDB,BA,SIM,94931
Luis Carlos Heinze,PP,RS,SIM,73483
Luis Tibé,PTdoB,MG,SIM,160510
Luiza Erundina,PSOL,SP,NAO,74784
Luiz Carlos Busato,PTB,RS,SIM,141485
Luiz Carlos Hauly,PSDB,PR,SIM,73778
Luiz Carlos Ramos,PTN,RJ,SIM,178802
Luiz Cláudio,PR,RO,SIM,178955
Luiz Couto,PT,PB,NAO,74041
Luiz Fernando Faria,PP,MG,SIM,141487
Luizianne Lins,PT,CE,NAO,178866
Luiz Lauro Filho,PSB,SP,SIM,178982
Luiz Nishimori,PR,PR,SIM,162332
Luiz Sérgio,PT,RJ,NAO,74688
Magda Mofatto,PR,GO,SIM,166402
Major Olimpio,SD,SP,SIM,178826
Mandetta,DEM,MS,SIM,160633
Manoel Junior,PMDB,PB,SIM,141490
Marcelo Álvaro Antônio,PR,MG,SIM,179000
Marcelo Aro,PHS,MG,SIM,146788
Marcelo Belinati,PP,PR,SIM,178932
Marcelo Castro,PMDB,PI,NAO,74460
Marcelo Matos,PHS,RJ,SIM,76287
Marcelo Squassoni,PRB,SP,SIM,118594
Marcio Alvino,PR,SP,SIM,178983
Márcio Marinho,PRB,BA,SIM,150418
Marco Maia,PT,RS,NAO,133373
Marcon,PT,RS,NAO,160535
Marcos Abrão,PPS,GO,SIM,178880
Marcos Montes,PSD,MG,SIM,141500
Marcos Reategui,PSD,AP,SIM,178852
Marcos Rotta,PMDB,AM,SIM,178850
Marcos Soares,DEM,RJ,SIM,178943
Marco Tebaldi,PSDB,SC,SIM,160536
Marcus Pestana,PSDB,MG,SIM,159238
Marcus Vicente,PP,ES,SIM,74235
Margarida Salomão,PT,MG,NAO,171619
Maria Helena,PSB,RR,SIM,64960
Mariana Carvalho,PSDB,RO,SIM,178956
Marinaldo Rosendo,PSB,PE,SIM,178919
Marinha Raupp,PMDB,RO,SIM,74177
Mário Heringer,PDT,MG,SIM,74158
Mário Negromonte Jr.,PP,BA,ABST,178858
Marx Beltrão,PMDB,AL,SIM,178843
Maurício Quintella Lessa,PR,AL,SIM,74050
Mauro Lopes,PMDB,MG,SIM,74749
Mauro Mariani,PMDB,SC,SIM,141507
Mauro Pereira,PMDB,RS,SIM,124411
Max Filho,PSDB,ES,SIM,178827
Mendonça Filho,DEM,PE,SIM,74428
Miguel Haddad,PSDB,SP,SIM,178984
Miguel Lombardi,PR,SP,SIM,178985
Milton Monti,PR,SP,SIM,74787
Miro Teixeira,REDE,RJ,SIM,74862
Misael Varella,DEM,MG,SIM,178895
Missionário José Olimpio,DEM,SP,SIM,160561
Moema Gramacho,PT,BA,NAO,178859
Moroni Torgan,DEM,CE,SIM,74457
Moses Rodrigues,PMDB,CE,SIM,178997
Nelson Marchezan Junior,PSDB,RS,SIM,160567
Nelson Meurer,PP,PR,SIM,73781
Newton Cardoso Jr,PMDB,MG,SIM,178896
Nilson Leitão,PSDB,MT,SIM,166401
Nilson Pinto,PSDB,PA,SIM,74352
Nilton Capixaba,PTB,RO,SIM,74359
Nilto Tatto,PT,SP,NAO,178986
Odelmo Leão,PP,MG,SIM,74752
Odorico Monteiro,PROS,CE,NAO,178868
Orlando Silva,PCdoB,SP,NAO,178987
Osmar Serraglio,PMDB,PR,SIM,73463
Osmar Terra,PMDB,RS,SIM,73692
Otavio Leite,PSDB,RJ,SIM,141515
Padre João,PT,MG,NAO,160556
Paes Landim,PTB,PI,NAO,74319
Pastor Eurico,PHS,PE,SIM,160642
Pauderney Avelino,DEM,AM,SIM,74095
Paulão,PT,AL,NAO,171617
Paulo Azi,DEM,BA,SIM,178860
Paulo Feijó,PR,RJ,SIM,74017
Paulo Foletto,PSB,ES,SIM,160517
Paulo Freire,PR,SP,SIM,160558
Paulo Magalhães,PSD,BA,NAO,74574
Paulo Maluf,PP,SP,SIM,132056
Paulo Pimenta,PT,RS,NAO,74400
Paulo Teixeira,PT,SP,NAO,141488
Pedro Chaves,PMDB,GO,SIM,74812
Pedro Cunha Lima,PSDB,PB,SIM,178912
Pedro Fernandes,PTB,MA,NAO,74449
Pedro Uczai,PT,SC,NAO,160604
Pedro Vilela,PSDB,AL,SIM,178844
Pompeo de Mattos,PDT,RS,ABST,73486
Pr. Marco Feliciano,PSC,SP,SIM,160601
Professora Marcivania,PCdoB,AP,NAO,160641
Professor Victório Galli,PSC,MT,SIM,148134
Rafael Motta,PSB,RN,SIM,178951
Raimundo Gomes de Matos,PSDB,CE,SIM,74216
Raquel Muniz,PSD,MG,SIM,178998
Renata Abreu,PTN,SP,SIM,178989
Renato Molling,PP,RS,SIM,141527
Ricardo Barros,PP,PR,SIM,73788
Ricardo Izar,PP,SP,SIM,160655
Ricardo Teobaldo,PTN,PE,NAO,178920
Ricardo Tripoli,PSDB,SP,SIM,141472
Roberto Alves,PRB,SP,SIM,152610
Roberto Balestra,PP,GO,SIM,73674
Roberto Britto,PP,BA,NAO,141529
Roberto Góes,PDT,AP,NAO,178995
Roberto Sales,PRB,RJ,SIM,178944
Rocha,PSDB,AC,SIM,178840
Rodrigo de Castro,PSDB,MG,SIM,141531
Rodrigo Maia,DEM,RJ,SIM,74693
Rodrigo Martins,PSB,PI,SIM,178926
Rodrigo Pacheco,PMDB,MG,SIM,178897
Rogério Marinho,PSDB,RN,SIM,141535
Rogério Peninha Mendonça,PMDB,SC,SIM,160651
Rogério Rosso,PSD,DF,SIM,160426
Rômulo Gouveia,PSD,PB,SIM,141536
Ronaldo Benedet,PMDB,SC,SIM,160515
Ronaldo Carletto,PP,BA,NAO,178861
Ronaldo Fonseca,PROS,DF,SIM,160637
Ronaldo Lessa,PDT,AL,NAO,178845
Ronaldo Martins,PRB,CE,SIM,122466
Ronaldo Nogueira,PTB,RS,SIM,163321
Rosangela Gomes,PRB,RJ,SIM,178945
Rubens Bueno,PPS,PR,SIM,73466
Rubens Otoni,PT,GO,NAO,74371
Rubens Pereira Júnior,PCdoB,MA,NAO,178887
Ságuas Moraes,PT,MT,NAO,160630
Samuel Moreira,PSDB,SP,SIM,178990
Sandro Alex,PSD,PR,SIM,160621
Saraiva Felipe,PMDB,MG,SIM,74762
Sarney Filho,PV,MA,SIM,74210
Sérgio Brito,PSD,BA,NAO,73808
Sérgio Moraes,PTB,RS,SIM,141542
Sérgio Reis,PRB,SP,SIM,178991
Sergio Souza,PMDB,PR,SIM,178933
Sergio Vidigal,PDT,ES,SIM,178874
Sergio Zveiter,PMDB,RJ,SIM,160612
Shéridan,PSDB,RR,SIM,178961
Sibá Machado,PT,AC,NAO,160613
Silas Câmara,PRB,AM,SIM,74356
Silvio Costa,PTdoB,PE,NAO,4930
Silvio Torres,PSDB,SP,SIM,73560
Simone Morgado,PMDB,PA,NAO,178911
Soraya Santos,PMDB,RJ,SIM,178946
Sóstenes Cavalcante,DEM,RJ,SIM,178947
Stefano Aguiar,PSD,MG,SIM,92776
Subtenente Gonzaga,PDT,MG,SIM,177282
Tadeu Alencar,PSB,PE,SIM,178922
Takayama,PSC,PR,SIM,74385
Tenente Lúcio,PSB,MG,SIM,178898
Tereza Cristina,PSB,MS,SIM,178901
Tia Eron,PRB,BA,SIM,178862
Tiririca,PR,SP,SIM,160976
Toninho Pinheiro,PP,MG,SIM,160611
Toninho Wandscheer,PROS,PR,SIM,178934
Uldurico Junior,PV,BA,SIM,178863
Valadares Filho,PSB,SE,SIM,141384
Valdir Colatto,PMDB,SC,SIM,74010
Valmir Assunção,PT,BA,NAO,160610
Valmir Prascidelli,PT,SP,NAO,113247
Valtenir Pereira,PMDB,MT,NAO,141552
Vanderlei Macris,PSDB,SP,SIM,141553
Vander Loubet,PT,MS,NAO,74376
Veneziano Vital do Rêgo,PMDB,PB,SIM,178913
Vicente Arruda,PDT,CE,NAO,74308
Vicentinho,PT,SP,NAO,74283
Vicentinho Júnior,PR,TO,NAO,137070
Victor Mendes,PSD,MA,SIM,178888
Vinicius Carvalho,PRB,SP,SIM,141555
Vitor Lippi,PSDB,SP,SIM,178992
Vitor Valim,PMDB,CE,SIM,178869
Wadih Damous,PT,RJ,NAO,189593
Waldenor Pereira,PT,BA,NAO,160569
Walter Alves,PMDB,RN,SIM,178952
Washington Reis,PMDB,RJ,SIM,160620
Weliton Prado,PMB,MG,SIM,160518
Wellington Roberto,PR,PB,NAO,74043
Weverton Rocha,PDT,MA,NAO,167493
Wolney Queiroz,PDT,PE,NAO,74439
Zeca Cavalcanti,PTB,PE,NAO,178923
Zeca Dirceu,PT,PR,NAO,160592
Zé Carlos,PT,MA,NAO,178889
Zé Geraldo,PT,PA,NAO,73931
Zenaide Maia,PR,RN,NAO,178949
Zé Silva,SD,MG,SIM,160632
