deputado;IMPEACHMENT;nome
Abel Mesquita Jr.;SIM;AbelMesquitaJr.
Adail Carneiro;SIM;AdailCarneiro
Adalberto Cavalcanti;NAO;AdalbertoCavalcanti
Adelmo Carneiro Leão;NAO;AdelmoCarneiroLeão
Adelson Barreto;SIM;AdelsonBarreto
Adilton Sachetti;SIM;AdiltonSachetti
Aelton Freitas;NAO;AeltonFreitas
Afonso Florence;NAO;AfonsoFlorence
Afonso Hamm;SIM;AfonsoHamm
Afonso Motta;NAO;AfonsoMotta
Aguinaldo Ribeiro;SIM;AguinaldoRibeiro
Alan Rick;SIM;AlanRick
Alberto Filho;SIM;AlbertoFilho
Alberto Fraga;SIM;AlbertoFraga
Alceu Moreira;SIM;AlceuMoreira
Alessandro Molon;NAO;AlessandroMolon
Alexandre Baldy;SIM;AlexandreBaldy
Alexandre Leite;SIM;AlexandreLeite
Alexandre Serfiotis;SIM;AlexandreSerfiotis
Alexandre Valle;SIM;AlexandreValle
Alex Canziani;SIM;AlexCanziani
Alex Manente;SIM;AlexManente
Alfredo Kaefer;SIM;AlfredoKaefer
Alfredo Nascimento;SIM;AlfredoNascimento
Alice Portugal;NAO;AlicePortugal
Aliel Machado;NAO;AlielMachado
Altineu Côrtes;SIM;AltineuCôrtes
Aluisio Mendes;NAO;AluisioMendes
Ana Perugini;NAO;AnaPerugini
Anderson Ferreira;SIM;AndersonFerreira
André Abdon;SIM;AndréAbdon
André de Paula;SIM;AndrédePaula
André Fufuca;SIM;AndréFufuca
Andre Moura;SIM;AndreMoura
Andres Sanchez;NAO;AndresSanchez
Angelim;NAO;Angelim
Aníbal Gomes;AUSEN;AníbalGomes
Antonio Brito;NAO;AntonioBrito
Antonio Bulhões;SIM;AntonioBulhões
Antonio Imbassahy;SIM;AntonioImbassahy
Antônio Jácome;SIM;AntônioJácome
Ariosto Holanda;NAO;AriostoHolanda
Arlindo Chinaglia;NAO;ArlindoChinaglia
Arnaldo Faria de Sá;SIM;ArnaldoFariadeSá
Arnaldo Jardim;SIM;ArnaldoJardim
Arnaldo Jordy;SIM;ArnaldoJordy
Arnon Bezerra;NAO;ArnonBezerra
Arolde de Oliveira;SIM;AroldedeOliveira
Arthur Lira;SIM;ArthurLira
Arthur Oliveira Maia;SIM;ArthurOliveiraMaia
Arthur Virgílio Bisneto;SIM;ArthurVirgílioBisneto
Assis Carvalho;NAO;AssisCarvalho
Assis do Couto;NAO;AssisdoCouto
Átila Lins;SIM;ÁtilaLins
Átila Lira;SIM;ÁtilaLira
Augusto Carvalho;SIM;AugustoCarvalho
Augusto Coutinho;SIM;AugustoCoutinho
Aureo;SIM;Aureo
Bacelar;NAO;Bacelar
Baleia Rossi;SIM;BaleiaRossi
Bebeto;NAO;Bebeto
Benedita da Silva;NAO;BeneditadaSilva
Benito Gama;SIM;BenitoGama
Benjamin Maranhão;SIM;BenjaminMaranhão
Betinho Gomes;SIM;BetinhoGomes
Beto Faro;NAO;BetoFaro
Beto Mansur;SIM;BetoMansur
Beto Rosado;SIM;BetoRosado
Beto Salame;ABST;BetoSalame
Bilac Pinto;SIM;BilacPinto
Bohn Gass;NAO;BohnGass
Bonifácio de Andrada;SIM;BonifáciodeAndrada
Bruna Furlan;SIM;BrunaFurlan
Brunny;NAO;Brunny
Bruno Araújo;SIM;BrunoAraújo
Bruno Covas;SIM;BrunoCovas
Cabo Daciolo;SIM;CaboDaciolo
Cabo Sabino;SIM;CaboSabino
Cabuçu Borges;SIM;CabuçuBorges
Cacá Leão;ABST;CacáLeão
Caetano;NAO;Caetano
Caio Narcio;SIM;CaioNarcio
Capitão Augusto;SIM;CapitãoAugusto
Capitão Fábio Abreu;NAO;CapitãoFábioAbreu
Carlos Andrade;SIM;CarlosAndrade
Carlos Bezerra;SIM;CarlosBezerra
Carlos Gomes;SIM;CarlosGomes
Carlos Henrique Gaguim;SIM;CarlosHenriqueGaguim
Carlos Manato;SIM;CarlosManato
Carlos Marun;SIM;CarlosMarun
Carlos Melles;SIM;CarlosMelles
Carlos Sampaio;SIM;CarlosSampaio
Carlos Zarattini;NAO;CarlosZarattini
Carmen Zanotto;SIM;CarmenZanotto
Célio Silveira;SIM;CélioSilveira
Celso Maldaner;SIM;CelsoMaldaner
Celso Pansera;NAO;CelsoPansera
Celso Russomanno;SIM;CelsoRussomanno
César Halum;SIM;CésarHalum
César Messias;NAO;CésarMessias
Cesar Souza;SIM;CesarSouza
Chico Alencar;NAO;ChicoAlencar
Chico D'angelo;NAO;ChicoD'angelo
Chico Lopes;NAO;ChicoLopes
Christiane de Souza Yared;SIM;ChristianedeSouzaYared
Cícero Almeida;SIM;CíceroAlmeida
Clarissa Garotinho;AUSEN;ClarissaGarotinho
Claudio Cajado;SIM;ClaudioCajado
Cleber Verde;SIM;CleberVerde
Conceição Sampaio;SIM;ConceiçãoSampaio
Covatti Filho;SIM;CovattiFilho
Cristiane Brasil;SIM;CristianeBrasil
Dagoberto;NAO;Dagoberto
Damião Feliciano;NAO;DamiãoFeliciano
Dâmina Pereira;SIM;DâminaPereira
Daniel Almeida;NAO;DanielAlmeida
Daniel Coelho;SIM;DanielCoelho
Daniel Vilela;SIM;DanielVilela
Danilo Cabral;SIM;DaniloCabral
Danilo Forte;SIM;DaniloForte
Danrlei de Deus Hinterholz;SIM;DanrleideDeusHinterholz
Darcísio Perondi;SIM;DarcísioPerondi
Davidson Magalhães;NAO;DavidsonMagalhães
Décio Lima;NAO;DécioLima
Delegado Éder Mauro;SIM;DelegadoÉderMauro
Delegado Edson Moreira;SIM;DelegadoEdsonMoreira
Delegado Waldir;SIM;DelegadoWaldir
Deley;SIM;Deley
Diego Andrade;SIM;DiegoAndrade
Diego Garcia;SIM;DiegoGarcia
Dilceu Sperafico;SIM;DilceuSperafico
Dimas Fabiano;SIM;DimasFabiano
Domingos Neto;NAO;DomingosNeto
Domingos Sávio;SIM;DomingosSávio
Dr. João;SIM;Dr.João
Dr. Jorge Silva;SIM;Dr.JorgeSilva
Dr. Sinval Malheiros;SIM;Dr.SinvalMalheiros
Duarte Nogueira;SIM;DuarteNogueira
Dulce Miranda;SIM;DulceMiranda
Edinho Araújo;SIM;EdinhoAraújo
Edio Lopes;NAO;EdioLopes
Edmilson Rodrigues;NAO;EdmilsonRodrigues
Eduardo Barbosa;SIM;EduardoBarbosa
Eduardo Bolsonaro;SIM;EduardoBolsonaro
Eduardo Cunha;SIM;EduardoCunha
Eduardo Cury;SIM;EduardoCury
Eduardo da Fonte;SIM;EduardodaFonte
Efraim Filho;SIM;EfraimFilho
Elcione Barbalho;NAO;ElcioneBarbalho
Eli Corrêa Filho;SIM;EliCorrêaFilho
Elizeu Dionizio;SIM;ElizeuDionizio
Eliziane Gama;SIM;ElizianeGama
Elmar Nascimento;SIM;ElmarNascimento
Enio Verri;NAO;EnioVerri
Erika Kokay;NAO;ErikaKokay
Erivelton Santana;SIM;EriveltonSantana
Eros Biondini;SIM;ErosBiondini
Esperidião Amin;SIM;EsperidiãoAmin
Evair de Melo;SIM;EvairdeMelo
Evandro Gussi;SIM;EvandroGussi
Evandro Roman;SIM;EvandroRoman
Expedito Netto;SIM;ExpeditoNetto
Ezequiel Teixeira;SIM;EzequielTeixeira
Fábio Faria;SIM;FábioFaria
Fabio Garcia;SIM;FabioGarcia
Fábio Mitidieri;NAO;FábioMitidieri
Fábio Ramalho;SIM;FábioRamalho
Fabio Reis;SIM;FabioReis
Fábio Sousa;SIM;FábioSousa
Fausto Pinato;SIM;FaustoPinato
Felipe Bornier;SIM;FelipeBornier
Felipe Maia;SIM;FelipeMaia
Félix Mendonça Júnior;NAO;FélixMendonçaJúnior
Fernando Coelho Filho;SIM;FernandoCoelhoFilho
Fernando Francischini;SIM;FernandoFrancischini
Fernando Jordão;SIM;FernandoJordão
Fernando Torres;NAO;FernandoTorres
Flávia Morais;SIM;FláviaMorais
Flaviano Melo;SIM;FlavianoMelo
Flavinho;SIM;Flavinho
Floriano Pesaro;SIM;FlorianoPesaro
Francisco Chapadinha;SIM;FranciscoChapadinha
Francisco Floriano;SIM;FranciscoFloriano
Franklin Lima;SIM;FranklinLima
Gabriel Guimarães;NAO;GabrielGuimarães
Genecias Noronha;SIM;GeneciasNoronha
George Hilton;NAO;GeorgeHilton
Geovania de Sá;SIM;GeovaniadeSá
Geraldo Resende;SIM;GeraldoResende
Giacobo;SIM;Giacobo
Gilberto Nascimento;SIM;GilbertoNascimento
Giovani Cherini;SIM;GiovaniCherini
Giuseppe Vecci;SIM;GiuseppeVecci
Givaldo Carimbão;NAO;GivaldoCarimbão
Givaldo Vieira;NAO;GivaldoVieira
Glauber Braga;NAO;GlauberBraga
Gonzaga Patriota;SIM;GonzagaPatriota
Gorete Pereira;ABST;GoretePereira
Goulart;SIM;Goulart
Guilherme Mussi;SIM;GuilhermeMussi
Heitor Schuch;SIM;HeitorSchuch
Helder Salomão;NAO;HelderSalomão
Hélio Leite;SIM;HélioLeite
Henrique Fontana;NAO;HenriqueFontana
Heráclito Fortes;SIM;HeráclitoFortes
Herculano Passos;SIM;HerculanoPassos
Hermes Parcianello;SIM;HermesParcianello
Heuler Cruvinel;SIM;HeulerCruvinel
Hildo Rocha;SIM;HildoRocha
Hiran Gonçalves;SIM;HiranGonçalves
Hissa Abrahão;SIM;HissaAbrahão
Hugo Leal;SIM;HugoLeal
Hugo Motta;SIM;HugoMotta
Indio da Costa;SIM;IndiodaCosta
Iracema Portella;SIM;IracemaPortella
Irajá Abreu;NAO;IrajáAbreu
Irmão Lazaro;SIM;IrmãoLazaro
Ivan Valente;NAO;IvanValente
Izalci;SIM;Izalci
Jaime Martins;SIM;JaimeMartins
Jair Bolsonaro;SIM;JairBolsonaro
Jandira Feghali;NAO;JandiraFeghali
Janete Capiberibe;NAO;JaneteCapiberibe
Jarbas Vasconcelos;SIM;JarbasVasconcelos
Jean Wyllys;NAO;JeanWyllys
Jefferson Campos;SIM;JeffersonCampos
Jerônimo Goergen;SIM;JerônimoGoergen
Jéssica Sales;SIM;JéssicaSales
JHC;SIM;JHC
Jhonatan de Jesus;SIM;JhonatandeJesus
João Arruda;SIM;JoãoArruda
João Campos;SIM;JoãoCampos
João Carlos Bacelar;NAO;JoãoCarlosBacelar
João Castelo;SIM;JoãoCastelo
João Daniel;NAO;JoãoDaniel
João Derly;SIM;JoãoDerly
João Fernando Coutinho;SIM;JoãoFernandoCoutinho
João Gualberto;SIM;JoãoGualberto
João Marcelo Souza;NAO;JoãoMarceloSouza
João Paulo Kleinübing;SIM;JoãoPauloKleinübing
João Paulo Papa;SIM;JoãoPauloPapa
João Rodrigues;SIM;JoãoRodrigues
Joaquim Passarinho;SIM;JoaquimPassarinho
Jô Moraes;NAO;JôMoraes
Jony Marcos;SIM;JonyMarcos
Jorge Boeira;SIM;JorgeBoeira
Jorge Côrte Real;SIM;JorgeCôrteReal
Jorge Solla;NAO;JorgeSolla
Jorge Tadeu Mudalen;SIM;JorgeTadeuMudalen
Jorginho Mello;SIM;JorginhoMello
José Airton Cirilo;NAO;JoséAirtonCirilo
José Carlos Aleluia;SIM;JoséCarlosAleluia
José Carlos Araújo;NAO;JoséCarlosAraújo
José Fogaça;SIM;JoséFogaça
José Guimarães;NAO;JoséGuimarães
José Mentor;NAO;JoséMentor
José Nunes;NAO;JoséNunes
José Otávio Germano;SIM;JoséOtávioGermano
José Priante;SIM;JoséPriante
José Reinaldo;SIM;JoséReinaldo
José Rocha;NAO;JoséRocha
Jose Stédile;SIM;JoseStédile
Josi Nunes;SIM;JosiNunes
Josué Bengtson;SIM;JosuéBengtson
Jovair Arantes;SIM;JovairArantes
Jozi Araújo;NAO;JoziAraújo
Júlia Marinho;SIM;JúliaMarinho
Júlio Cesar;SIM;JúlioCesar
Júlio Delgado;SIM;JúlioDelgado
Julio Lopes;SIM;JulioLopes
Junior Marreca;NAO;JuniorMarreca
Juscelino Filho;SIM;JuscelinoFilho
Jutahy Junior;SIM;JutahyJunior
Kaio Maniçoba;SIM;KaioManiçoba
Keiko Ota;SIM;KeikoOta
Laercio Oliveira;SIM;LaercioOliveira
Laerte Bessa;SIM;LaerteBessa
Laudivio Carvalho;SIM;LaudivioCarvalho
Lázaro Botelho;SIM;LázaroBotelho
Leandre;SIM;Leandre
Lelo Coimbra;SIM;LeloCoimbra
Leo de Brito;NAO;LeodeBrito
Leonardo Monteiro;NAO;LeonardoMonteiro
Leonardo Picciani;NAO;LeonardoPicciani
Leonardo Quintão;SIM;LeonardoQuintão
Leônidas Cristino;NAO;LeônidasCristino
Leopoldo Meyer;SIM;LeopoldoMeyer
Lincoln Portela;SIM;LincolnPortela
Lindomar Garçon;SIM;LindomarGarçon
Lucas Vergilio;SIM;LucasVergilio
Luciana Santos;NAO;LucianaSantos
Luciano Ducci;SIM;LucianoDucci
Lucio Mosquini;SIM;LucioMosquini
Lúcio Vale;NAO;LúcioVale
Lucio Vieira Lima;SIM;LucioVieiraLima
Luis Carlos Heinze;SIM;LuisCarlosHeinze
Luis Tibé;SIM;LuisTibé
Luiza Erundina;NAO;LuizaErundina
Luiz Carlos Busato;SIM;LuizCarlosBusato
Luiz Carlos Hauly;SIM;LuizCarlosHauly
Luiz Carlos Ramos;SIM;LuizCarlosRamos
Luiz Cláudio;SIM;LuizCláudio
Luiz Couto;NAO;LuizCouto
Luiz Fernando Faria;SIM;LuizFernandoFaria
Luizianne Lins;NAO;LuizianneLins
Luiz Lauro Filho;SIM;LuizLauroFilho
Luiz Nishimori;SIM;LuizNishimori
Luiz Sérgio;NAO;LuizSérgio
Macedo;NAO;Macedo
Magda Mofatto;SIM;MagdaMofatto
Major Olimpio;SIM;MajorOlimpio
Mandetta;SIM;Mandetta
Manoel Junior;SIM;ManoelJunior
Mara Gabrilli;SIM;MaraGabrilli
Marcelo Álvaro Antônio;SIM;MarceloÁlvaroAntônio
Marcelo Aro;SIM;MarceloAro
Marcelo Belinati;SIM;MarceloBelinati
Marcelo Castro;NAO;MarceloCastro
Marcelo Matos;SIM;MarceloMatos
Marcelo Squassoni;SIM;MarceloSquassoni
Marcio Alvino;SIM;MarcioAlvino
Márcio Marinho;SIM;MárcioMarinho
Marco Antônio Cabral;SIM;MarcoAntônioCabral
Marco Maia;NAO;MarcoMaia
Marcon;NAO;Marcon
Marcos Abrão;SIM;MarcosAbrão
Marcos Montes;SIM;MarcosMontes
Marcos Reategui;SIM;MarcosReategui
Marcos Rogério;SIM;MarcosRogério
Marcos Rotta;SIM;MarcosRotta
Marcos Soares;SIM;MarcosSoares
Marco Tebaldi;SIM;MarcoTebaldi
Marcus Pestana;SIM;MarcusPestana
Marcus Vicente;SIM;MarcusVicente
Margarida Salomão;NAO;MargaridaSalomão
Maria do Rosário;NAO;MariadoRosário
Maria Helena;SIM;MariaHelena
Mariana Carvalho;SIM;MarianaCarvalho
Marinaldo Rosendo;SIM;MarinaldoRosendo
Marinha Raupp;SIM;MarinhaRaupp
Mário Heringer;SIM;MárioHeringer
Mário Negromonte Jr.;ABST;MárioNegromonteJr.
Marx Beltrão;SIM;MarxBeltrão
Maurício Quintella Lessa;SIM;MaurícioQuintellaLessa
Mauro Lopes;SIM;MauroLopes
Mauro Mariani;SIM;MauroMariani
Mauro Pereira;SIM;MauroPereira
Max Filho;SIM;MaxFilho
Mendonça Filho;SIM;MendonçaFilho
Miguel Corrêa;NAO;MiguelCorrêa
Miguel Haddad;SIM;MiguelHaddad
Miguel Lombardi;SIM;MiguelLombardi
Milton Monti;SIM;MiltonMonti
Miro Teixeira;SIM;MiroTeixeira
Misael Varella;SIM;MisaelVarella
Missionário José Olimpio;SIM;MissionárioJoséOlimpio
Moema Gramacho;NAO;MoemaGramacho
Moroni Torgan;SIM;MoroniTorgan
Moses Rodrigues;SIM;MosesRodrigues
Nelson Marchezan Junior;SIM;NelsonMarchezanJunior
Nelson Marquezelli;SIM;NelsonMarquezelli
Nelson Meurer;SIM;NelsonMeurer
Nelson Padovani;SIM;NelsonPadovani
Newton Cardoso Jr;SIM;NewtonCardosoJr
Nilson Leitão;SIM;NilsonLeitão
Nilson Pinto;SIM;NilsonPinto
Nilton Capixaba;SIM;NiltonCapixaba
Nilto Tatto;NAO;NiltoTatto
Odelmo Leão;SIM;OdelmoLeão
Odorico Monteiro;NAO;OdoricoMonteiro
Onyx Lorenzoni;SIM;OnyxLorenzoni
Orlando Silva;NAO;OrlandoSilva
Osmar Serraglio;SIM;OsmarSerraglio
Osmar Terra;SIM;OsmarTerra
Otavio Leite;SIM;OtavioLeite
Padre João;NAO;PadreJoão
Paes Landim;NAO;PaesLandim
Pastor Eurico;SIM;PastorEurico
Patrus Ananias;NAO;PatrusAnanias
Pauderney Avelino;SIM;PauderneyAvelino
Paulão;NAO;Paulão
Paulo Abi-ackel;SIM;PauloAbi-ackel
Paulo Azi;SIM;PauloAzi
Paulo Feijó;SIM;PauloFeijó
Paulo Foletto;SIM;PauloFoletto
Paulo Freire;SIM;PauloFreire
Paulo Magalhães;NAO;PauloMagalhães
Paulo Maluf;SIM;PauloMaluf
Paulo Martins;SIM;PauloMartins
Paulo Pereira da Silva;SIM;PauloPereiradaSilva
Paulo Pimenta;NAO;PauloPimenta
Paulo Teixeira;NAO;PauloTeixeira
Pedro Chaves;SIM;PedroChaves
Pedro Cunha Lima;SIM;PedroCunhaLima
Pedro Fernandes;NAO;PedroFernandes
Pedro Paulo;SIM;PedroPaulo
Pedro Uczai;NAO;PedroUczai
Pedro Vilela;SIM;PedroVilela
Pepe Vargas;NAO;PepeVargas
Pompeo de Mattos;ABST;PompeodeMattos
Pr. Marco Feliciano;SIM;Pr.MarcoFeliciano
Professora Dorinha;SIM;ProfessoraDorinha
Professora Marcivania;NAO;ProfessoraMarcivania
Professor Victório Galli;SIM;ProfessorVictórioGalli
Rafael Motta;SIM;RafaelMotta
Raimundo Gomes de Matos;SIM;RaimundoGomesdeMatos
Raquel Muniz;SIM;RaquelMuniz
Reginaldo Lopes;NAO;ReginaldoLopes
Rejane Dias;NAO;RejaneDias
Remídio Monai;SIM;RemídioMonai
Renata Abreu;SIM;RenataAbreu
Renato Molling;SIM;RenatoMolling
Renzo Braz;SIM;RenzoBraz
Ricardo Barros;SIM;RicardoBarros
Ricardo Izar;SIM;RicardoIzar
Ricardo Teobaldo;NAO;RicardoTeobaldo
Ricardo Tripoli;SIM;RicardoTripoli
RJ;;RJ
Roberto Alves;SIM;RobertoAlves
Roberto Balestra;SIM;RobertoBalestra
Roberto Britto;NAO;RobertoBritto
Roberto de Lucena;SIM;RobertodeLucena
Roberto Góes;NAO;RobertoGóes
Roberto Sales;SIM;RobertoSales
Rocha;SIM;Rocha
Rodrigo de Castro;SIM;RodrigodeCastro
Rodrigo Garcia;SIM;RodrigoGarcia
Rodrigo Maia;SIM;RodrigoMaia
Rodrigo Martins;SIM;RodrigoMartins
Rodrigo Pacheco;SIM;RodrigoPacheco
Rogério Marinho;SIM;RogérioMarinho
Rogério Peninha Mendonça;SIM;RogérioPeninhaMendonça
Rogério Rosso;SIM;RogérioRosso
Rômulo Gouveia;SIM;RômuloGouveia
Ronaldo Benedet;SIM;RonaldoBenedet
Ronaldo Carletto;NAO;RonaldoCarletto
Ronaldo Fonseca;SIM;RonaldoFonseca
Ronaldo Lessa;NAO;RonaldoLessa
Ronaldo Martins;SIM;RonaldoMartins
Ronaldo Nogueira;SIM;RonaldoNogueira
Rôney Nemer;SIM;RôneyNemer
Rosangela Gomes;SIM;RosangelaGomes
Rubens Bueno;SIM;RubensBueno
Rubens Otoni;NAO;RubensOtoni
Rubens Pereira Júnior;NAO;RubensPereiraJúnior
Ságuas Moraes;NAO;SáguasMoraes
Samuel Moreira;SIM;SamuelMoreira
Sandro Alex;SIM;SandroAlex
Saraiva Felipe;SIM;SaraivaFelipe
Sarney Filho;SIM;SarneyFilho
Sebastião Oliveira;ABST;SebastiãoOliveira
Sérgio Brito;NAO;SérgioBrito
Sérgio Moraes;SIM;SérgioMoraes
Sérgio Reis;SIM;SérgioReis
Sergio Souza;SIM;SergioSouza
Sergio Vidigal;SIM;SergioVidigal
Sergio Zveiter;SIM;SergioZveiter
Shéridan;SIM;Shéridan
Sibá Machado;NAO;SibáMachado
Silas Câmara;SIM;SilasCâmara
Silvio Costa;NAO;SilvioCosta
Silvio Torres;SIM;SilvioTorres
Simone Morgado;NAO;SimoneMorgado
Soraya Santos;SIM;SorayaSantos
Sóstenes Cavalcante;SIM;SóstenesCavalcante
Stefano Aguiar;SIM;StefanoAguiar
Subtenente Gonzaga;SIM;SubtenenteGonzaga
Tadeu Alencar;SIM;TadeuAlencar
Takayama;SIM;Takayama
Tampinha;SIM;Tampinha
Tenente Lúcio;SIM;TenenteLúcio
Tereza Cristina;SIM;TerezaCristina
Thiago Peixoto;SIM;ThiagoPeixoto
Tia Eron;SIM;TiaEron
Tiririca;SIM;Tiririca
Toninho Pinheiro;SIM;ToninhoPinheiro
Toninho Wandscheer;SIM;ToninhoWandscheer
Uldurico Junior;SIM;UlduricoJunior
Valadares Filho;SIM;ValadaresFilho
Valdir Colatto;SIM;ValdirColatto
Valmir Assunção;NAO;ValmirAssunção
Valmir Prascidelli;NAO;ValmirPrascidelli
Valtenir Pereira;NAO;ValtenirPereira
Vanderlei Macris;SIM;VanderleiMacris
Vander Loubet;NAO;VanderLoubet
Veneziano Vital do Rêgo;SIM;VenezianoVitaldoRêgo
Vicente Arruda;NAO;VicenteArruda
Vicente Candido;NAO;VicenteCandido
Vicentinho;NAO;Vicentinho
Vicentinho Júnior;NAO;VicentinhoJúnior
Victor Mendes;SIM;VictorMendes
Vinicius Carvalho;SIM;ViniciusCarvalho
Vinicius Gurgel;ABST;ViniciusGurgel
Vitor Lippi;SIM;VitorLippi
Vitor Valim;SIM;VitorValim
Wadih Damous;NAO;WadihDamous
Waldenor Pereira;NAO;WaldenorPereira
Waldir Maranhão;NAO;WaldirMaranhão
Walter Alves;SIM;WalterAlves
Washington Reis;SIM;WashingtonReis
Weliton Prado;SIM;WelitonPrado
Wellington Roberto;NAO;WellingtonRoberto
Weverton Rocha;NAO;WevertonRocha
Wilson Filho;SIM;WilsonFilho
Wladimir Costa;SIM;WladimirCosta
Wolney Queiroz;NAO;WolneyQueiroz
Zeca Cavalcanti;NAO;ZecaCavalcanti
Zeca Dirceu;NAO;ZecaDirceu
Zeca do PT;NAO;ZecadoPT
Zé Carlos;NAO;ZéCarlos
Zé Geraldo;NAO;ZéGeraldo
Zenaide Maia;NAO;ZenaideMaia
Zé Silva;SIM;ZéSilva